percentage_top_1,percentage_bottom_1,percentage_top_2,percentage_bottom_2
20.983333333333334,79.01666666666667,22.916666666666664,77.08333333333334
20.766666666666666,79.23333333333333,30.383333333333333,69.61666666666667
21.349999999999998,78.65,29.76666666666667,70.23333333333333
21.183333333333334,78.81666666666666,26.85,73.15
19.516666666666666,80.48333333333333,26.18333333333333,73.81666666666666
19.333333333333332,80.66666666666667,29.599999999999998,70.4
20.849999999999998,79.15,27.266666666666666,72.73333333333333
22.483333333333334,77.51666666666667,25.900000000000002,74.1
22.083333333333332,77.91666666666667,28.233333333333334,71.76666666666667
24.033333333333335,75.96666666666667,28.166666666666668,71.83333333333333
23.683333333333334,76.31666666666666,25.583333333333336,74.41666666666666
23.266666666666666,76.73333333333333,28.21666666666667,71.78333333333333
17.0,83.0,27.23333333333333,72.76666666666667
17.766666666666666,82.23333333333333,27.833333333333332,72.16666666666667
24.416666666666668,75.58333333333333,25.533333333333335,74.46666666666667
22.466666666666665,77.53333333333333,28.53333333333333,71.46666666666667
20.666666666666668,79.33333333333333,28.633333333333333,71.36666666666667
20.933333333333334,79.06666666666666,28.199999999999996,71.80000000000001
20.1,79.9,27.166666666666668,72.83333333333333
18.183333333333334,81.81666666666666,28.499999999999996,71.5
22.45,77.55,28.433333333333334,71.56666666666666
25.016666666666666,74.98333333333333,31.25,68.75
13.333333333333334,86.66666666666667,24.283333333333335,75.71666666666667
22.133333333333333,77.86666666666667,28.666666666666668,71.33333333333333
17.95,82.05,28.199999999999996,71.80000000000001
20.716666666666665,79.28333333333333,27.866666666666667,72.13333333333333
21.183333333333334,78.81666666666666,25.7,74.3
23.966666666666665,76.03333333333333,29.9,70.1
21.85,78.15,29.583333333333332,70.41666666666667
20.25,79.75,26.3,73.7
19.333333333333332,80.66666666666667,29.26666666666667,70.73333333333333
19.566666666666666,80.43333333333334,33.58333333333333,66.41666666666667
21.983333333333334,78.01666666666667,29.333333333333332,70.66666666666667
23.25,76.75,29.633333333333333,70.36666666666667
21.166666666666668,78.83333333333333,25.75,74.25
23.316666666666666,76.68333333333334,31.45,68.55
22.466666666666665,77.53333333333333,24.183333333333334,75.81666666666666
24.766666666666666,75.23333333333333,29.883333333333333,70.11666666666667
19.650000000000002,80.35,26.18333333333333,73.81666666666666
19.333333333333332,80.66666666666667,28.383333333333333,71.61666666666667
19.1,80.9,28.849999999999998,71.15
23.033333333333335,76.96666666666667,29.583333333333332,70.41666666666667
25.3,74.7,29.083333333333332,70.91666666666667
21.433333333333334,78.56666666666666,27.78333333333333,72.21666666666667
23.25,76.75,30.8,69.2
22.116666666666667,77.88333333333333,28.633333333333333,71.36666666666667
19.883333333333333,80.11666666666667,28.26666666666667,71.73333333333333
19.1,80.9,28.53333333333333,71.46666666666667
19.766666666666666,80.23333333333333,26.700000000000003,73.3
18.183333333333334,81.81666666666666,26.23333333333333,73.76666666666667
20.583333333333336,79.41666666666666,27.416666666666668,72.58333333333333
21.099999999999998,78.9,27.583333333333332,72.41666666666667
23.983333333333334,76.01666666666667,31.900000000000002,68.1
18.633333333333333,81.36666666666667,32.31666666666666,67.68333333333334
21.166666666666668,78.83333333333333,30.65,69.35
20.233333333333334,79.76666666666667,24.71666666666667,75.28333333333333
21.866666666666667,78.13333333333333,25.383333333333336,74.61666666666666
21.95,78.05,26.73333333333333,73.26666666666667
20.783333333333335,79.21666666666667,27.400000000000002,72.6
23.7,76.3,26.633333333333333,73.36666666666667
20.45,79.55,25.766666666666666,74.23333333333333
18.4,81.6,25.2,74.8
27.96666666666667,72.03333333333333,27.85,72.15
24.116666666666667,75.88333333333333,23.083333333333332,76.91666666666667
21.6,78.4,28.999999999999996,71.0
19.900000000000002,80.1,28.96666666666667,71.03333333333333
18.7,81.3,27.066666666666666,72.93333333333334
23.666666666666668,76.33333333333333,26.816666666666666,73.18333333333334
20.216666666666665,79.78333333333333,31.683333333333337,68.31666666666666
18.316666666666666,81.68333333333334,27.98333333333333,72.01666666666667
23.5,76.5,26.8,73.2
21.133333333333333,78.86666666666667,30.516666666666666,69.48333333333333
22.3,77.7,28.1,71.9
24.25,75.75,31.15,68.85
21.616666666666667,78.38333333333333,30.2,69.8
23.716666666666665,76.28333333333333,29.86666666666667,70.13333333333333
23.083333333333332,76.91666666666667,27.633333333333333,72.36666666666667
22.25,77.75,26.75,73.25
20.533333333333335,79.46666666666667,25.866666666666667,74.13333333333333
